"uc","Cnuc","bioma","grupo","n","taxa_avist_media","dp","ep","IC_95"
"ESEC Serra Geral do Tocantins","0000.00.0076","Cerrado","Proteção Integral",2,1.78788020153014,1.31452720798115,0.92951110281769,1.82180828475278
"ESEC da Terra do Meio","0000.00.0047","Amazônia","Proteção Integral",5,26.502462567732,7.26154017506982,3.24745949056037,6.36490364275111
"ESEC de Maracá","0000.00.0057","Amazônia","Proteção Integral",3,16.2333333333333,1.84481254693623,1.06510302057803,2.08756356015776
"ESEC de Niquiá","0000.00.0060","Amazônia","Proteção Integral",6,5.26356245380636,1.26212045848007,0.515258519533955,1.00988814101398
"ESEC de Pirapitinga","0000.00.0061","Cerrado","Proteção Integral",1,17.9310344827586,NA,NA,NA
"ESEC do Jari","0000.00.0067","Amazônia","Proteção Integral",1,9.2,NA,NA,NA
"ESEC do Rio Acre","0000.00.0068","Amazônia","Proteção Integral",2,18.55,8.55599205235723,6.05,11.8577821064673
"FLONA de Tapajós","0000.00.0123","Amazônia","Uso Sustentável",1,20.7535121328225,NA,NA,NA
"FLONA do Jamari","0000.00.0118","Amazônia","Uso Sustentável",9,11.1944820810412,2.6728236316641,0.890941210554701,1.74621268502973
"PARNA Mapinguari","0000.00.1633","Amazônia","Proteção Integral",6,10.4326271186441,2.45824474186173,1.00357421340683,1.96696931409051
"PARNA Montanhas do Tumucumaque","0000.00.0187","Amazônia","Proteção Integral",8,12.1514519056261,3.96196550569158,1.40076633795085,2.74545157313973
"PARNA Nascentes do Lago Jari","0000.00.1626","Amazônia","Proteção Integral",2,9.8962962962963,1.92752070723444,1.36296296296296,2.67135831966941
"PARNA Serra da Mocidade","0000.00.0189","Amazônia","Proteção Integral",6,8.10640981538814,2.68403276062665,1.09575178607483,2.14763403670211
"PARNA da Amazônia","0000.00.0136","Amazônia","Proteção Integral",6,15.5174200180823,3.43001710993522,1.40029862139285,2.74453486553108
"PARNA da Chapada dos Veadeiros","0000.00.0139","Cerrado","Proteção Integral",2,2.60416666666667,1.03119738923038,0.729166666666667,1.42914040539379
"PARNA da Serra da Bocaina","0000.00.0142","Mata Atlântica","Proteção Integral",3,3.10606060606061,0.347164825375442,0.200435705383681,0.392846763767896
"PARNA da Serra da Bodoquena","0000.00.0143","Cerrado","Proteção Integral",7,6.21018641074083,2.38709530427954,0.902237218704819,1.76835245417303
"PARNA da Serra da Cutia","0000.00.0188","Amazônia","Proteção Integral",6,13.0074074074074,1.93594544697482,0.790346419158771,1.54905051686139
"PARNA da Serra do Cipó","0000.00.0148","Cerrado","Proteção Integral",4,3.22668650793651,1.95986112158979,0.979930560794897,1.92062860650814
"PARNA da Serra do Divisor","0000.00.0149","Amazônia","Proteção Integral",5,13.3666666666667,5.30701841380303,2.37337078622134,4.65172126295333
"PARNA da Serra do Pardo","0000.00.0151","Amazônia","Proteção Integral",4,21.3289878113408,1.56266430540403,0.781332152702017,1.5313828792591
"PARNA da Serra dos Órgãos","0000.00.0152","Mata Atlântica","Proteção Integral",5,5.85955702757138,2.4208925485519,1.08265606095695,2.12196688711963
"PARNA de Pacaás Novos","0000.00.0163","Amazônia","Proteção Integral",3,18.5198326244078,2.91098811123233,1.68065976962779,3.29403261873585
"PARNA do Cabo Orange","0000.00.0169","Amazônia","Proteção Integral",7,12.5477985915774,0.681855313130367,0.257717084095861,0.505116203028568
"PARNA do Iguaçu","0000.00.0172","Mata Atlântica","Proteção Integral",5,5.36,1.92561678430575,0.861162005664439,1.68784651595658
"PARNA do Jaú","0000.00.0173","Amazônia","Proteção Integral",7,7.92511151796142,1.21503491740355,0.459240032244243,0.900093923457729
"PARNA do Juruena","0000.00.0281","Amazônia","Proteção Integral",6,17.6703703703704,1.85218811761799,0.756152632635024,1.48203192677979
"PARNA do Monte Roraima","0000.00.0174","Amazônia","Proteção Integral",3,4.63131313131313,2.08499015844687,1.20376962923702,2.3593451189877
"PARNA do Superagui","0000.00.0178","Mata Atlântica","Proteção Integral",4,0,0,0,0
"PARNA do Viruá","0000.00.0179","Amazônia","Proteção Integral",4,14.2668866392565,1.71700338851856,0.858501694259279,1.6826324014148
"PARNA dos Campos Amazônicos","0000.00.0284","Amazônia","Proteção Integral",3,10.2444444444444,1.195051525311,0.689963319833779,1.3523032575279
"REBIO Guaribas","0000.00.0196","Mata Atlântica","Proteção Integral",1,9.5,NA,NA,NA
"REBIO Trombetas","0000.00.0210","Amazônia","Proteção Integral",1,18.5714285714286,NA,NA,NA
"REBIO de Una","0000.00.0202","Mata Atlântica","Proteção Integral",1,1.26315789473684,NA,NA,NA
"REBIO do Gurupi","0000.00.0207","Amazônia","Proteção Integral",6,17.5754745982421,8.1296333409921,3.31890891355805,6.50494193854273
"REBIO do Jaru","0000.00.0208","Amazônia","Proteção Integral",7,14.1190476190476,1.96516959430771,0.742764290086271,1.45579125757155
"REBIO do Tapirapé","0000.00.0211","Amazônia","Proteção Integral",6,16.6555555555556,3.24589769583883,1.3251321853468,2.59721135803458
"REBIO do Uatumã","0000.00.0213","Amazônia","Proteção Integral",8,28.6226820550759,8.28972141993245,2.9308591150908,5.74437830933891
"RESEX Arapixi","0000.00.0285","Amazônia","Uso Sustentável",4,15.6741869918699,6.91494659298004,3.45747329649002,6.77652313862942
"RESEX Barreiro das Antas","0000.00.0221","Amazônia","Uso Sustentável",6,7.65969371130661,1.51797157503106,0.619709300479169,1.21460790982368
"RESEX Chico Mendes","0000.00.0222","Amazônia","Uso Sustentável",2,17.7333333333333,1.13137084989847,0.799999999999999,1.56797118763204
"RESEX Ipaú-Anilzinho","0000.00.0241","Amazônia","Uso Sustentável",4,10.2,3.64783040541452,1.82391520270726,3.5748081081613
"RESEX Renascer","0000.00.1810","Amazônia","Uso Sustentável",3,16.5634889753567,3.88925376963318,2.24546171084448,4.40102408191888
"RESEX Rio Ouro Preto","0000.00.0256","Amazônia","Uso Sustentável",6,7.75960293507611,2.4670122720203,1.00715354260566,1.97398467040901
"RESEX Riozinho da Liberdade","0000.00.0257","Amazônia","Uso Sustentável",3,13.1555555555556,1.92911417015206,1.11377458543481,2.18295807434827
"RESEX Riozinho do Anfrísio","0000.00.0258","Amazônia","Uso Sustentável",5,21.0802355350742,4.32632983274215,1.93479351981935,3.7921256163674
"RESEX Tapajós-Arapiuns","0000.00.0259","Amazônia","Uso Sustentável",9,13.1784242489549,2.46178550076274,0.820595166920912,1.60833697305262
"RESEX Verde para Sempre","0000.00.0260","Amazônia","Uso Sustentável",1,28.9473684210526,NA,NA,NA
"RESEX do Alto Tarauacá","0000.00.0274","Amazônia","Uso Sustentável",6,16.4777777777778,3.2652831537363,1.3330462653933,2.61272266989648
"RESEX do Cazumbá-Iracema","0000.00.0232","Amazônia","Uso Sustentável",9,14.7555555555556,2.88790581563873,0.962635271879577,1.88673046313189
"RESEX do Lago do Capanã Grande","0000.00.0242","Amazônia","Uso Sustentável",2,9.1,0.989949493661167,0.7,1.37197478917804
"RESEX do Rio do Cautário","0000.00.0238","Amazônia","Uso Sustentável",3,12.5149638373661,1.46426407260013,0.845393256480383,1.65694033547458
